,A,B,max_Delay
1463,16,79,1280
1464,16,80,1296
1465,16,81,1312
1466,16,82,1328
1467,16,83,1191
1468,16,84,1190
1469,16,85,1376
1470,16,86,1392
1471,16,87,1408
1472,16,88,1424
1473,16,89,1440
1474,16,90,1456
1475,16,91,1472
1476,16,92,1488
1477,16,93,1504
1478,16,94,1520
1479,16,95,1536
1480,16,96,1552
1481,16,97,1568
1482,16,98,1584
1483,16,99,1415
1484,16,100,1414
1485,17,2,1
1486,17,3,39
1487,17,4,39
1488,17,5,72
1489,17,6,108
1490,17,7,115
1491,17,8,115
1492,17,9,153
1493,17,10,180
1494,17,11,172
1495,17,12,216
1496,17,13,229
1497,17,14,248
1498,17,15,267
1499,17,16,288
1500,17,17,270
1501,17,18,304
1502,17,19,381
1503,17,20,399
1504,17,21,323
1505,17,22,368
1506,17,23,401
1507,17,24,400
1508,17,25,624
1509,17,26,567
1510,17,27,407
1511,17,28,435
1512,17,29,435
1513,17,30,496
1514,17,31,993
1515,17,32,1261
1516,17,33,526
1517,17,34,560
1518,17,35,576
1519,17,36,555
1520,17,37,898
1521,17,38,841
1522,17,39,657
1523,17,40,656
1524,17,41,689
1525,17,42,688
1526,17,43,836
1527,17,44,1350
1528,17,45,659
1529,17,46,752
1530,17,47,785
1531,17,48,784
1532,17,49,2350
1533,17,50,1197
1534,17,51,676
1535,17,52,848
1536,17,53,864
1537,17,54,785
1538,17,55,1456
1539,17,56,1567
1540,17,57,945
1541,17,58,944
1542,17,59,916
1543,17,60,915
1544,17,61,1387
1545,17,62,1638
1546,17,63,1041
1547,17,64,1040
1548,17,65,1073
1549,17,66,1072
1550,17,67,1450
1551,17,68,1449
1552,17,69,1137
1553,17,70,1136
1554,17,71,1152
1555,17,72,1111
1556,17,73,1998
1557,17,74,2700
1558,17,75,1233
1559,17,76,1232
1560,17,77,1265
1561,17,78,1264
1562,17,79,1621
1563,17,80,1620
1564,17,81,1329
1565,17,82,1328
1566,17,83,1361
1567,17,84,1275
1568,17,85,2263
1569,17,86,2436
1570,17,87,1247
1571,17,88,1424
1572,17,89,1440
1573,17,90,1456
1574,17,91,2208
1575,17,92,1975
1576,17,93,1521
1577,17,94,1520
1578,17,95,1553
1579,17,96,1471
1580,17,97,2179
1581,17,98,2178
1582,17,99,1617
1583,17,100,1616
1584,18,2,1
1585,18,3,21
1586,18,4,38
1587,18,5,57
1588,18,6,114
1589,18,7,114
1590,18,8,114
1591,18,9,141
1592,18,10,190
1593,18,11,190
1594,18,12,228
1595,18,13,228
1596,18,14,247
1597,18,15,247
1598,18,16,304
1599,18,17,304
1600,18,18,304
1601,18,19,360
1602,18,20,378
1603,18,21,396
1604,18,22,414
1605,18,23,432
1606,18,24,450
1607,18,25,468
1608,18,26,486
1609,18,27,465
1610,18,28,464
1611,18,29,540
1612,18,30,558
1613,18,31,576
1614,18,32,594
1615,18,33,612
1616,18,34,630
1617,18,35,648
1618,18,36,629
1619,18,37,625
1620,18,38,624
1621,18,39,720
1622,18,40,738
1623,18,41,756
1624,18,42,774
1625,18,43,792
1626,18,44,810
1627,18,45,828
1628,18,46,846
1629,18,47,864
1630,18,48,882
1631,18,49,900
1632,18,50,918
1633,18,51,936
