,A,B,max_Delay
1185,13,98,4729
1186,13,99,4777
1187,13,100,4600
1188,14,2,28
1189,14,3,56
1190,14,4,168
1191,14,5,204
1192,14,6,224
1193,14,7,168
1194,14,8,567
1195,14,9,349
1196,14,10,683
1197,14,11,625
1198,14,12,728
1199,14,13,959
1200,14,14,364
1201,14,15,1087
1202,14,16,1216
1203,14,17,1258
1204,14,18,864
1205,14,19,1178
1206,14,20,1360
1207,14,21,1134
1208,14,22,1144
1209,14,23,1388
1210,14,24,2256
1211,14,25,2475
1212,14,26,1352
1213,14,27,1321
1214,14,28,1426
1215,14,29,1535
1216,14,30,1587
1217,14,31,2232
1218,14,32,1561
1219,14,33,1743
1220,14,34,1795
1221,14,35,1776
1222,14,36,1753
1223,14,37,1924
1224,14,38,2465
1225,14,39,1950
1226,14,40,2107
1227,14,41,2159
1228,14,42,1092
1229,14,43,2263
1230,14,44,2137
1231,14,45,3550
1232,14,46,2419
1233,14,47,2471
1234,14,48,2329
1235,14,49,2575
1236,14,50,2627
1237,14,51,2679
1238,14,52,4056
1239,14,53,2569
1240,14,54,2617
1241,14,55,2443
1242,14,56,2826
1243,14,57,2761
1244,14,58,3043
1245,14,59,5074
1246,14,60,3147
1247,14,61,3199
1248,14,62,3001
1249,14,63,3276
1250,14,64,3226
1251,14,65,3380
1252,14,66,3991
1253,14,67,3511
1254,14,68,3289
1255,14,69,3615
1256,14,70,1820
1257,14,71,3719
1258,14,72,3771
1259,14,73,7446
1260,14,74,3726
1261,14,75,3927
1262,14,76,3952
1263,14,77,3876
1264,14,78,3926
1265,14,79,4135
1266,14,80,6924
1267,14,81,4239
1268,14,82,4100
1269,14,83,4316
1270,14,84,4226
1271,14,85,4447
1272,14,86,4499
1273,14,87,4726
1274,14,88,4400
1275,14,89,4628
1276,14,90,4707
1277,14,91,4576
1278,14,92,4626
1279,14,93,4115
1280,14,94,5264
1281,14,95,4967
1282,14,96,5019
1283,14,97,5071
1284,14,98,5123
1285,14,99,5175
1286,14,100,5227
1287,15,2,30
1288,15,3,60
1289,15,4,125
1290,15,5,120
1291,15,6,270
1292,15,7,373
1293,15,8,404
1294,15,9,540
1295,15,10,570
1296,15,11,668
1297,15,12,1211
1298,15,13,823
1299,15,14,1087
1300,15,15,420
1301,15,16,1289
1302,15,17,1564
1303,15,18,1334
1304,15,19,1520
1305,15,20,1334
1306,15,21,1680
1307,15,22,2816
1308,15,23,941
1309,15,24,1496
1310,15,25,2909
1311,15,26,1716
1312,15,27,3247
1313,15,28,3248
1314,15,29,1653
1315,15,30,840
1316,15,31,2742
1317,15,32,2959
1318,15,33,1877
1319,15,34,2244
1320,15,35,1989
1321,15,36,1826
1322,15,37,9694
1323,15,38,2003
1324,15,39,2213
1325,15,40,3520
1326,15,41,2325
1327,15,42,3780
1328,15,43,2350
1329,15,44,2404
1330,15,45,2458
1331,15,46,9023
1332,15,47,3801
1333,15,48,2717
1334,15,49,4555
1335,15,50,2829
1336,15,51,2885
1337,15,52,3046
1338,15,53,2997
1339,15,54,2726
1340,15,55,4510
1341,15,56,3052
1342,15,57,5130
1343,15,58,4292
1344,15,59,3333
1345,15,60,1680
1346,15,61,3416
1347,15,62,13268
1348,15,63,3176
1349,15,64,6322
1350,15,65,3669
1351,15,66,3725
1352,15,67,10988
1353,15,68,3837
1354,15,69,3450
1355,15,70,6020
1356,15,71,4005
1357,15,72,4061
1358,15,73,8322
1359,15,74,4173
1360,15,75,4078
1361,15,76,6536
1362,15,77,7854
1363,15,78,4240
1364,15,79,10495
1365,15,80,4320
1366,15,81,4076
1367,15,82,4786
1368,15,83,4648
1369,15,84,4226
1370,15,85,7480
1371,15,86,4499
1372,15,87,10092
1373,15,88,5488
1374,15,89,4834
1375,15,90,5069
1376,15,91,6040
1377,15,92,11471
1378,15,93,5237
1379,15,94,7332
1380,15,95,5349
1381,15,96,5405
1382,15,97,5656
1383,15,98,5517
1384,15,99,4976
1385,15,100,8242
1386,16,2,34
1387,16,3,67
1388,16,4,166
1389,16,5,265
1390,16,6,1025
1391,16,7,397
1392,16,8,430
1393,16,9,579
1394,16,10,640
1395,16,11,1520
1396,16,12,1190
1397,16,13,928
1398,16,14,1216
1399,16,15,1289
1400,16,16,480
1401,16,17,1437
1402,16,18,1368
1403,16,19,2479
1404,16,20,1760
1405,16,21,1227
1406,16,22,2252
1407,16,23,2728
1408,16,24,1488
1409,16,25,1600
1410,16,26,1924
1411,16,27,2889
1412,16,28,2025
1413,16,29,2155
1414,16,30,1740
1415,16,31,1828
1416,16,32,1886
1417,16,33,2011
1418,16,34,1726
1419,16,35,2131
1420,16,36,2191
1421,16,37,2251
1422,16,38,2311
1423,16,39,2371
1424,16,40,2320
1425,16,41,2408
1426,16,42,2551
1427,16,43,2611
1428,16,44,2671
1429,16,45,2731
1430,16,46,2791
1431,16,47,2851
1432,16,48,1440
1433,16,49,2971
1434,16,50,2829
1435,16,51,2267
1436,16,52,3151
1437,16,53,3211
1438,16,54,3271
1439,16,55,3331
1440,16,56,3136
1441,16,57,2991
1442,16,58,3511
1443,16,59,3571
1444,16,60,3631
1445,16,61,3416
1446,16,62,3751
1447,16,63,3303
1448,16,64,3742
1449,16,65,3669
1450,16,66,3991
1451,16,67,3484
1452,16,68,3264
1453,16,69,4171
1454,16,70,4231
1455,16,71,4291
1456,16,72,4206
1457,16,73,4411
1458,16,74,4322
1459,16,75,4531
1460,16,76,4591
1461,16,77,4651
1462,16,78,4711
1463,16,79,4582
1464,16,80,2400
1465,16,81,4565
1466,16,82,4951
1467,16,83,5011
1468,16,84,5071
1469,16,85,4080
1470,16,86,5191
1471,16,87,4901
1472,16,88,5134
1473,16,89,5192
1474,16,90,5431
1475,16,91,5491
1476,16,92,5551
1477,16,93,4863
1478,16,94,5671
1479,16,95,5540
1480,16,96,5598
1481,16,97,5461
1482,16,98,5911
1483,16,99,5971
1484,16,100,6031
1485,17,2,34
1486,17,3,71
1487,17,4,211
1488,17,5,238
1489,17,6,351
1490,17,7,456
1491,17,8,491
1492,17,9,561
1493,17,10,1157
1494,17,11,491
1495,17,12,1717
1496,17,13,789
1497,17,14,1258
1498,17,15,1564
1499,17,16,1437
1500,17,17,544
1501,17,18,1593
1502,17,19,1748
1503,17,20,2011
1504,17,21,2733
1505,17,22,1509
1506,17,23,1794
1507,17,24,2352
1508,17,25,2550
1509,17,26,1273
1510,17,27,2339
1511,17,28,2709
1512,17,29,2214
1513,17,30,2100
1514,17,31,2604
1515,17,32,1886
1516,17,33,2078
1517,17,34,1088
1518,17,35,2273
1519,17,36,2337
1520,17,37,2401
1521,17,38,2465
1522,17,39,2529
1523,17,40,2593
1524,17,41,2491
1525,17,42,2806
1526,17,43,2611
1527,17,44,2849
1528,17,45,2913
1529,17,46,2977
1530,17,47,2376
1531,17,48,3105
1532,17,49,3169
1533,17,50,2930
1534,17,51,1632
1535,17,52,3361
1536,17,53,3392
1537,17,54,3489
1538,17,55,3553
1539,17,56,3391
1540,17,57,3451
1541,17,58,3745
1542,17,59,3928
1543,17,60,3873
1544,17,61,3904
1545,17,62,4001
1546,17,63,4065
1547,17,64,4129
1548,17,65,3669
1549,17,66,3991
1550,17,67,4186
1551,17,68,2176
1552,17,69,4171
1553,17,70,4513
