,A,B,biasA,biasB,delay
443,3.0,7.0,7.0,0.0,16.0
444,3.0,7.0,8.0,0.0,8.0
445,3.0,8.0,0.0,0.0,0.0
446,3.0,8.0,1.0,0.0,64.0
447,3.0,8.0,2.0,0.0,128.0
448,3.0,8.0,3.0,0.0,0.0
449,3.0,8.0,4.0,0.0,64.0
450,3.0,8.0,5.0,0.0,128.0
451,3.0,8.0,6.0,0.0,0.0
452,3.0,8.0,7.0,0.0,64.0
453,3.0,8.0,8.0,0.0,128.0
454,3.0,9.0,0.0,0.0,0.0
455,3.0,9.0,1.0,0.0,10.0
456,3.0,9.0,2.0,0.0,20.0
457,3.0,9.0,3.0,0.0,0.0
458,3.0,9.0,4.0,0.0,10.0
459,3.0,9.0,5.0,0.0,20.0
460,3.0,9.0,6.0,0.0,0.0
461,3.0,9.0,7.0,0.0,10.0
462,3.0,9.0,8.0,0.0,20.0
463,3.0,10.0,0.0,0.0,0.0
464,3.0,10.0,1.0,0.0,22.0
465,3.0,10.0,2.0,0.0,11.0
466,3.0,10.0,3.0,0.0,0.0
467,3.0,10.0,4.0,0.0,22.0
468,3.0,10.0,5.0,0.0,11.0
469,3.0,10.0,6.0,0.0,0.0
470,3.0,10.0,7.0,0.0,22.0
471,3.0,10.0,8.0,0.0,11.0
472,3.0,11.0,0.0,0.0,0.0
473,3.0,11.0,1.0,0.0,121.0
474,3.0,11.0,2.0,0.0,242.0
475,3.0,11.0,3.0,0.0,0.0
476,3.0,11.0,4.0,0.0,121.0
477,3.0,11.0,5.0,0.0,242.0
478,3.0,11.0,6.0,0.0,0.0
479,3.0,11.0,7.0,0.0,121.0
480,3.0,11.0,8.0,0.0,242.0
481,3.0,12.0,0.0,0.0,0.0
482,3.0,12.0,1.0,0.0,13.0
483,3.0,12.0,2.0,0.0,26.0
484,3.0,12.0,3.0,0.0,0.0
485,3.0,12.0,4.0,0.0,13.0
486,3.0,12.0,5.0,0.0,26.0
487,3.0,12.0,6.0,0.0,0.0
488,3.0,12.0,7.0,0.0,13.0
489,3.0,12.0,8.0,0.0,26.0
490,3.0,13.0,0.0,0.0,0.0
491,3.0,13.0,1.0,0.0,28.0
492,3.0,13.0,2.0,0.0,14.0
493,3.0,13.0,3.0,0.0,0.0
494,3.0,13.0,4.0,0.0,28.0
495,3.0,13.0,5.0,0.0,14.0
496,3.0,13.0,6.0,0.0,0.0
497,3.0,13.0,7.0,0.0,28.0
498,3.0,13.0,8.0,0.0,14.0
499,3.0,14.0,0.0,0.0,0.0
500,3.0,14.0,1.0,0.0,196.0
501,3.0,14.0,2.0,0.0,392.0
502,3.0,14.0,3.0,0.0,0.0
503,3.0,14.0,4.0,0.0,196.0
504,3.0,14.0,5.0,0.0,392.0
505,3.0,14.0,6.0,0.0,0.0
506,3.0,14.0,7.0,0.0,196.0
507,3.0,14.0,8.0,0.0,392.0
508,3.0,15.0,0.0,0.0,0.0
509,3.0,15.0,1.0,0.0,16.0
510,3.0,15.0,2.0,0.0,32.0
511,3.0,15.0,3.0,0.0,0.0
512,3.0,15.0,4.0,0.0,16.0
513,3.0,15.0,5.0,0.0,32.0
514,3.0,15.0,6.0,0.0,0.0
515,3.0,15.0,7.0,0.0,16.0
516,3.0,15.0,8.0,0.0,32.0
517,3.0,16.0,0.0,0.0,0.0
518,3.0,16.0,1.0,0.0,34.0
519,3.0,16.0,2.0,0.0,17.0
520,3.0,16.0,3.0,0.0,0.0
521,3.0,16.0,4.0,0.0,34.0
522,3.0,16.0,5.0,0.0,17.0
523,3.0,16.0,6.0,0.0,0.0
524,3.0,16.0,7.0,0.0,34.0
525,3.0,16.0,8.0,0.0,17.0
526,3.0,17.0,0.0,0.0,0.0
527,3.0,17.0,1.0,0.0,289.0
528,3.0,17.0,2.0,0.0,578.0
529,3.0,17.0,3.0,0.0,0.0
530,3.0,17.0,4.0,0.0,289.0
531,3.0,17.0,5.0,0.0,578.0
532,3.0,17.0,6.0,0.0,0.0
533,3.0,17.0,7.0,0.0,289.0
534,3.0,17.0,8.0,0.0,578.0
