,A,B,max_Delay
774,100,75,18600
775,100,76,12300
776,100,77,10900
777,100,78,36800
778,100,79,118800
779,100,80,inf
780,100,81,11300
781,100,82,17000
782,100,83,24600
783,100,84,31100
784,100,85,12200
785,100,86,28700
786,100,87,25600
787,100,88,23400
788,100,89,72000
789,100,90,inf
790,100,91,28700
791,100,92,17200
792,100,93,15600
793,100,94,38000
794,100,95,31200
795,100,96,22600
796,100,97,14700
797,100,98,10000
798,100,99,970200
799,100,100,9999
